Component,ExplainedVariance,CumulativeVariance
PC1,0.1665994566920119,0.1665994566920119
PC2,0.13639159990201696,0.30299105659402886
PC3,0.08705918619655093,0.39005024279057976
PC4,0.06150735455905612,0.45155759734963585
PC5,0.04747405199718105,0.4990316493468169
PC6,0.03553011328536679,0.5345617626321837
PC7,0.03366864662019937,0.5682304092523831
PC8,0.028865922980458546,0.5970963322328416
PC9,0.026044137714450005,0.6231404699472917
PC10,0.024589726397629335,0.647730196344921
