UMAP1,UMAP2,Year
3.8810408,13.441634,2020
-1.4844522,15.553017,2020
-1.2217034,15.443455,2020
3.9644272,11.373681,2020
-1.3326322,13.436529,2020
9.957789,13.957378,2020
5.274446,15.211362,2020
4.0790844,13.853267,2020
2.7287219,9.189804,2020
10.011016,14.047797,2020
10.080238,13.899822,2020
-0.9813678,13.224479,2020
4.9712462,18.02504,2020
-2.3029785,14.893018,2020
2.6212702,8.918937,2020
5.166198,18.080639,2020
3.3780367,13.041216,2020
9.925788,14.0586605,2020
6.3185434,13.095579,2020
3.156246,11.005747,2020
5.4275427,14.898164,2020
5.286283,12.398989,2020
-2.6150746,15.367337,2020
3.2821634,15.166394,2020
6.3857,13.359288,2020
6.5280066,13.251064,2020
3.38412,11.0185585,2020
6.3872504,13.388284,2020
9.113235,14.498483,2020
5.007967,15.532788,2020
8.810213,14.174224,2020
2.8445096,14.890683,2020
3.0781384,19.168377,2020
2.0002918,14.031222,2020
5.3062873,15.411898,2020
9.271381,13.789836,2020
1.691878,12.147683,2020
3.2955894,12.455817,2020
9.367524,13.735618,2020
9.295344,13.901747,2020
-1.8881444,14.906941,2020
9.039749,14.660895,2020
-0.09081985,14.629015,2020
4.8873444,11.193625,2020
9.841553,15.362821,2020
9.9124975,15.121842,2020
9.684783,14.961493,2020
9.825193,15.158723,2020
8.734677,14.661135,2020
8.985899,14.417799,2020
4.858067,17.625713,2020
3.960987,11.791925,2020
9.568789,15.264862,2020
5.2118087,17.252657,2020
8.892304,14.548522,2020
5.5833883,17.920317,2020
5.603412,15.146722,2020
4.968599,15.304571,2020
-1.255413,13.003201,2020
-1.8830321,14.517924,2020
8.938328,14.371764,2020
-2.7223241,6.214609,2020
-0.97270787,7.108596,2020
-2.8800373,5.7861576,2020
-2.4903975,5.9092603,2020
-0.3798955,7.894623,2020
-2.7153778,6.038285,2020
1.8710091,11.675708,2020
0.19171776,9.0008,2020
5.2144966,12.271889,2020
-0.5307281,14.47671,2020
1.1838319,11.262436,2020
-1.0702403,7.042686,2020
-1.9218473,14.14693,2020
0.4427148,10.904246,2020
-2.5488505,6.00706,2020
1.9330115,8.85088,2020
-0.23582228,14.07363,2020
-1.3790408,13.675286,2020
0.35436425,8.688616,2020
-2.7832866,6.1583276,2020
2.8417788,12.186974,2020
-2.269857,5.620489,2020
-2.5133061,6.249647,2020
10.250312,14.049504,2020
3.3908215,19.4596,2020
3.0965168,19.400692,2020
3.712154,12.380488,2020
9.542251,14.164017,2020
-2.2972493,15.23463,2020
3.99157,13.009035,2020
9.250692,14.9013605,2020
1.2804569,17.519447,2020
9.8678255,14.608863,2020
9.395875,15.045608,2020
-0.9107677,13.460715,2020
2.242765,15.008578,2020
4.3467765,11.81832,2020
-0.15965576,15.324246,2020
9.618975,14.337454,2020
4.948212,17.812757,2020
9.542194,14.19578,2020
9.513107,14.748167,2020
-1.7894641,14.059868,2020
2.9231067,17.839397,2020
9.867062,15.641311,2020
9.796979,15.644226,2020
1.2368491,17.695375,2020
-1.1361762,15.245359,2020
-0.43270296,15.219464,2020
4.4445915,17.014645,2020
3.28956,10.991742,2020
5.1501603,17.922604,2020
9.293737,14.8727045,2020
-1.8398918,14.865697,2020
9.934745,15.59812,2020
9.330513,15.086978,2020
1.3204811,17.450071,2020
2.3184743,9.194151,2020
2.5915668,9.048839,2020
9.284962,14.75972,2020
-1.4029156,15.407378,2021
-1.1000942,13.277236,2021
-1.6026696,13.722793,2021
3.5624652,10.135223,2021
-1.1409695,13.051707,2021
6.356146,16.30079,2021
11.25082,13.9465475,2021
3.650712,10.381325,2021
11.154892,13.838731,2021
5.322209,16.941366,2021
3.3241591,13.296649,2021
3.635623,13.155707,2021
6.8402424,13.551134,2021
5.1692843,17.076584,2021
-2.6845915,15.347641,2021
-1.2467234,14.926731,2021
5.3348875,17.083078,2021
6.760266,13.707779,2021
11.802474,15.67517,2021
2.730659,8.85381,2021
-2.3026621,15.241858,2021
10.645413,13.080275,2021
