UMAP1,UMAP2,Year
0.6232864,12.53158,2021
0.46070537,12.694472,2021
0.54020137,12.614646,2021
0.40793285,1.6716278,2021
-4.1915827,3.0947602,2021
14.861763,0.8476013,2021
0.4877941,1.2218431,2021
20.656288,1.836434,2021
21.623291,2.0657282,2021
14.095553,-0.44596362,2021
18.842503,0.3570989,2021
20.151875,1.2934769,2021
-0.016190013,1.5213639,2021
0.9264946,0.7837231,2021
14.40901,0.30023804,2021
11.41482,6.68821,2021
0.7470895,0.2708261,2021
11.30704,6.4365478,2021
21.36101,2.29432,2021
14.942967,1.2086457,2021
20.642628,1.9777858,2021
0.75261205,1.5196004,2021
-0.2347553,1.6637987,2021
12.486392,3.6430101,2021
10.3004,-3.0545096,2021
0.18477583,1.5961804,2021
0.54108936,1.5812124,2021
10.674231,16.314295,2021
9.748826,6.033516,2021
10.657282,16.215275,2021
14.592374,5.006619,2021
12.218948,0.4202001,2022
13.221893,-0.31134054,2022
9.597608,7.833948,2022
12.128562,0.25638273,2022
4.797771,-2.020061,2022
3.2446032,0.15022054,2022
11.951449,0.23395276,2022
12.174664,0.25894883,2022
9.758587,8.071966,2022
13.667862,-2.701406,2022
10.113758,15.876629,2022
-4.3560505,2.9125257,2022
19.081398,0.5021381,2022
22.000326,2.9901114,2022
18.855387,0.39711544,2022
12.095966,-2.6345043,2022
12.013639,-2.77593,2022
15.521548,1.6261584,2022
12.137247,-2.6161132,2022
22.193808,3.3092842,2022
13.054632,-1.7282339,2022
4.6220417,-1.8939302,2022
4.7272825,-1.832167,2022
13.160679,-2.859447,2022
19.135504,0.24431653,2022
16.806267,2.7516956,2022
4.834627,-1.7562871,2022
22.501549,2.9772418,2022
11.714952,4.2193213,2022
5.1822085,-1.63498,2022
5.3969607,-1.4562962,2022
14.444711,5.188795,2022
5.2561445,-2.1059425,2022
13.788343,-2.2626882,2022
5.029709,-1.8615259,2022
10.478599,6.843553,2022
15.105165,1.3669614,2022
4.917312,-2.0391672,2022
13.968771,-2.7266977,2022
15.737357,1.783303,2022
10.55882,6.696175,2022
11.140491,7.057311,2022
13.054671,-3.4890616,2022
13.057614,-3.2509825,2022
4.9963965,-1.7826419,2022
22.178093,3.1260302,2022
