UMAP1,UMAP2,Year
9.277697,7.3751607,2020
16.118456,9.128254,2020
16.14171,9.195997,2020
6.8274837,7.751331,2020
14.383026,7.4675283,2020
-1.6769567,-1.639995,2020
11.857493,3.240686,2020
9.03591,7.4958186,2020
3.4140608,-12.102514,2020
-1.6366777,-1.5608382,2020
-1.6478704,-1.6462712,2020
14.369351,7.4522266,2020
14.712068,0.75913584,2020
17.28539,8.451895,2020
3.4961228,-12.0328245,2020
14.629805,0.8013841,2020
9.470307,7.1910105,2020
-1.6195571,-1.5792809,2020
0.66272837,18.087994,2020
6.5828123,10.450896,2020
11.7547455,3.248463,2020
6.920017,7.04048,2020
17.481775,8.694652,2020
12.488345,3.5491095,2020
0.665723,18.084597,2020
0.6198268,18.13058,2020
6.60103,10.440335,2020
0.6199393,18.130419,2020
-1.2624912,-1.2869142,2020
11.855651,3.1295247,2020
-1.072606,-0.8693591,2020
12.676227,3.8584363,2020
-3.4942274,7.7968807,2020
12.891933,4.192926,2020
11.906472,3.271645,2020
-1.4147121,-1.9949596,2020
9.73871,11.244799,2020
7.765506,7.8616543,2020
-1.464099,-1.9676182,2020
-1.4420668,-2.002326,2020
16.970552,8.506584,2020
-0.997099,-0.77175826,2020
15.014451,8.476231,2020
6.5569057,7.5380816,2020
-1.6832533,-0.82844776,2020
-1.7221478,-0.76733005,2020
-1.708688,-0.75385815,2020
-1.7575595,-0.7589433,2020
-1.0246944,-0.7733686,2020
-1.0641792,-0.8904253,2020
14.693775,0.58389467,2020
6.9071007,7.5037837,2020
-1.6952764,-0.7967048,2020
14.816259,0.6101493,2020
-1.0655435,-0.8460623,2020
14.932908,0.8349789,2020
11.830751,3.251262,2020
11.759534,3.075061,2020
14.362772,7.4477925,2020
17.18902,8.559709,2020
-1.0024621,-0.7854156,2020
15.6162,30.923288,2020
16.089312,-13.500841,2020
15.665325,30.922121,2020
15.625835,30.94483,2020
15.524688,-13.742715,2020
15.739653,30.823261,2020
