UMAP1,UMAP2,Year
-1.5940374,10.322278,2020
-5.508541,13.339773,2020
-5.5059595,13.31024,2020
-1.4121791,8.83103,2020
-4.4913383,13.969113,2020
10.133658,6.995817,2020
0.04377044,11.973212,2020
-1.275352,10.6145315,2020
0.8484315,5.2054234,2020
10.110064,6.96565,2020
10.14513,7.0036783,2020
-4.313934,14.025032,2020
0.04529331,13.671134,2020
-5.547615,14.036343,2020
0.84691274,5.22835,2020
0.119367756,13.755453,2020
-1.590741,10.331881,2020
10.179688,7.053787,2020
3.045373,8.03642,2020
-1.8662179,8.666403,2020
0.098589815,11.873741,2020
-0.52429533,9.078972,2020
-5.6934505,14.190632,2020
-1.3739592,12.352194,2020
3.075628,8.006147,2020
3.0502198,8.0292,2020
-1.9244043,8.70138,2020
3.0927217,7.990048,2020
10.454692,7.376059,2020
-0.11770382,12.211659,2020
10.339434,7.5512543,2020
-1.5818586,12.303862,2020
3.8649192,12.677528,2020
-2.4947937,12.13589,2020
0.05583291,11.990177,2020
9.939732,7.2973485,2020
-3.028186,10.02375,2020
-1.5704379,9.681439,2020
9.896785,7.2434697,2020
9.94299,7.2159114,2020
-5.445201,13.950849,2020
10.404212,7.5059795,2020
-4.754442,12.789355,2020
-1.0251437,8.821676,2020
10.834508,7.0061274,2020
10.653846,6.981486,2020
10.70852,7.0513535,2020
10.780577,7.0880003,2020
10.346138,7.5303097,2020
10.4328165,7.4419427,2020
0.18700683,13.798842,2020
-1.2589337,9.079683,2020
10.814573,7.0861998,2020
0.27296793,13.861956,2020
10.433603,7.463429,2020
0.1298631,13.9023,2020
0.10959237,11.874308,2020
-0.1203874,12.159008,2020
-4.3960013,13.990289,2020
-5.3238654,14.071525,2020
10.280865,7.482707,2020
-10.034024,10.493668,2020
-7.432552,8.690934,2020
-10.211571,10.270326,2020
-10.120747,10.381221,2020
-6.937089,8.130198,2020
-10.059218,10.398782,2020
-2.9349902,9.705307,2020
-6.346561,8.5140505,2020
-0.42615312,9.120664,2020
-5.0682364,12.920507,2020
-3.6142938,9.748555,2020
-7.455845,8.713681,2020
-5.0640407,13.790432,2020
-4.1103425,9.821379,2020
-10.12776,10.300141,2020
0.937178,5.105384,2020
-4.544777,12.945499,2020
-4.5818224,13.7702465,2020
-6.291121,8.584559,2020
-10.077712,10.463252,2020
-2.1558347,9.703281,2020
-10.13256,10.430949,2020
-10.187259,10.311633,2020
10.14707,6.6272564,2020
3.8287315,12.685608,2020
3.8302631,12.680299,2020
-1.4535102,9.628352,2020
10.229354,7.2108974,2020
-5.6809554,14.077281,2020
-1.5071883,10.143397,2020
10.630023,7.3247504,2020
6.311961,13.738598,2020
10.507965,7.010856,2020
10.516755,7.452974,2020
-4.395352,13.964578,2020
-1.9027395,12.34971,2020
-1.172181,8.968543,2020
-5.013855,12.629254,2020
10.242849,7.1843753,2020
-0.013690105,13.744545,2020
10.283371,7.0840898,2020
10.579659,7.4345827,2020
-5.0095778,13.709462,2020
3.2365744,12.496048,2020
10.887757,6.995185,2020
10.909915,6.995708,2020
6.3250985,13.7518835,2020
-5.394698,13.242216,2020
-4.9864855,12.666403,2020
-0.33241907,13.359507,2020
-1.9586946,8.657081,2020
0.14952947,13.819603,2020
10.667599,7.3285365,2020
-5.4465957,13.846852,2020
10.920142,6.981238,2020
10.761933,7.350697,2020
6.3432837,13.770355,2020
0.80640674,5.1777363,2020
0.82439315,5.2006454,2020
10.663295,7.319606,2020
