UMAP1,UMAP2,Year
6.202415,2.0091863,2020
12.05957,1.51735,2020
12.074078,1.5158862,2020
6.510415,3.915219,2020
11.068106,0.010711827,2020
-1.3936375,2.052102,2020
4.901268,-1.5042865,2020
5.942119,1.9870745,2020
6.3194427,7.47438,2020
-1.3474003,2.025524,2020
-1.3851138,2.0599737,2020
11.068348,-0.16490716,2020
6.9407406,-3.26841,2020
12.646057,0.8195919,2020
6.4226484,7.5836773,2020
6.8892355,-3.2083938,2020
6.392001,2.1616611,2020
-1.3673102,2.0450032,2020
-1.6900902,8.271605,2020
7.134078,4.089543,2020
4.836648,-1.5716567,2020
5.508904,3.494287,2020
12.946802,0.8962318,2020
5.66858,-1.5905685,2020
-1.618989,8.34098,2020
-1.6360242,8.325266,2020
7.1441283,4.13015,2020
-1.6478136,8.313502,2020
-1.4116089,2.4179018,2020
4.8716645,-1.8212435,2020
-1.5082368,2.6482954,2020
6.0265174,-1.1390408,2020
2.066531,-8.869354,2020
6.4519844,-0.757097,2020
4.9406934,-1.5256065,2020
-0.9682505,1.9964631,2020
7.8914366,3.0527894,2020
6.3519387,3.0178118,2020
-0.97718585,1.993313,2020
-0.9635085,1.9851011,2020
12.411247,0.78319013,2020
-1.6730429,2.5345752,2020
11.039977,1.2658557,2020
5.995972,3.9865322,2020
-1.3214667,3.0304477,2020
-1.4082894,3.0448961,2020
-1.4492967,3.0368547,2020
-1.3462402,3.1146233,2020
-1.6663873,2.5329003,2020
-1.5474975,2.5297704,2020
6.867561,-3.586279,2020
6.1378098,3.66786,2020
-1.3597263,3.073622,2020
6.8800516,-3.530577,2020
-1.5054504,2.5576298,2020
6.7415524,-3.220208,2020
4.9403477,-1.4682853,2020
4.867822,-1.848554,2020
11.059519,-0.18058611,2020
12.707209,0.9169554,2020
-1.7354017,2.5178862,2020
15.010828,11.241334,2020
18.693092,6.7915173,2020
14.995899,11.235052,2020
15.036103,11.249031,2020
19.440283,6.7964573,2020
15.066393,11.292256,2020
7.7756677,2.7687478,2020
18.927048,5.682584,2020
5.4703345,3.56854,2020
11.352774,1.3366525,2020
8.540904,2.7451105,2020
18.67373,6.756652,2020
11.804827,0.7237812,2020
8.924707,2.6320372,2020
15.056846,11.301193,2020
6.5129466,7.5712266,2020
10.986216,1.0363699,2020
11.121889,0.2617914,2020
18.970575,5.671811,2020
15.102764,11.322289,2020
7.1505084,2.6983583,2020
15.02183,11.377949,2020
15.147526,11.296939,2020
-2.0954304,2.8747578,2020
2.0649953,-8.878472,2020
2.016428,-8.92862,2020
6.265365,3.061005,2020
-1.2643877,2.0636942,2020
12.478386,0.87464684,2020
6.289623,2.262972,2020
-1.354983,2.5769322,2020
6.1070952,-8.41886,2020
-1.2500477,2.5980406,2020
-1.3807769,2.5128977,2020
10.950649,-0.10281899,2020
6.1788883,-1.0921342,2020
6.2324214,3.7195022,2020
11.402423,1.6595551,2020
-1.3571274,2.098673,2020
6.8213425,-3.4699259,2020
-1.34245,2.092289,2020
-1.4461344,2.6568909,2020
11.790113,0.7235706,2020
2.4438324,-8.443649,2020
-1.3579357,3.2113152,2020
-1.3592596,3.194359,2020
6.161499,-8.400591,2020
11.914343,1.4522963,2020
11.409629,1.6782602,2020
5.670906,-3.05466,2020
7.1434903,4.163375,2020
6.894488,-3.324829,2020
-1.3320183,2.7756007,2020
12.74605,1.0223172,2020
-1.3766949,3.1709313,2020
-1.4359587,2.7232718,2020
6.0842075,-8.339799,2020
6.374295,7.5621595,2020
6.422106,7.5884175,2020
-1.2856166,2.5914564,2020
12.072132,1.5352535,2021
11.0267315,-0.12683678,2021
11.08878,-0.0051257424,2021
7.213622,4.7400427,2021
11.01589,-0.1773093,2021
4.4087033,-0.30355567,2021
-3.8768876,3.6384087,2021
7.2041097,4.751378,2021
-3.8315105,3.6149526,2021
6.767317,-3.8156807,2021
6.335025,2.1101577,2021
6.2065334,2.0649834,2021
-1.7487234,8.217601,2021
6.7914157,-3.8037624,2021
12.809079,0.8475365,2021
12.013278,1.4405738,2021
6.7992196,-3.760531,2021
-1.7250803,8.24106,2021
-2.606238,3.6580148,2021
6.415562,7.5580616,2021
12.60364,0.95612425,2021
-4.200919,3.5355794,2021
-2.5629559,3.5587661,2021
10.987746,-0.19861168,2021
-2.7059891,3.6024148,2021
6.78637,-3.7285929,2021
-3.0186784,3.4764369,2021
-2.1081865,3.299444,2021
6.5685863,-3.3712583,2021
11.449956,1.6854612,2021
-2.7996569,3.7091744,2021
6.4332323,1.7553501,2021
6.234249,3.748544,2021
7.1963043,4.0945597,2021
-2.8292296,3.6116998,2021
4.8256335,-1.5523751,2021
5.990662,4.015928,2021
5.3889294,3.5093942,2021
6.5329194,1.8293957,2021
-2.1422486,3.2886028,2021
7.2755227,4.1850133,2021
12.476375,0.6954437,2021
6.4475236,7.593371,2021
15.117535,11.336705,2021
-2.9060469,3.4588246,2021
2.0406437,-8.904795,2021
15.012218,11.401454,2021
2.0136378,-8.932437,2021
12.552398,0.8405936,2021
6.356577,3.0216591,2021
-2.925653,3.4596148,2021
6.2418647,2.011647,2021
6.7090144,-3.4918864,2021
8.512641,2.7166543,2021
-2.9917867,3.509673,2021
7.7543893,2.716429,2021
7.227486,4.2167425,2021
6.369305,3.0172973,2021
19.363821,6.907593,2021
19.334213,6.9511523,2021
8.978552,2.6426358,2021
8.937938,2.673426,2021
14.934087,11.184858,2021
11.750289,0.71637046,2021
7.061818,2.6945965,2021
6.2723837,2.0717807,2021
6.1832323,2.0314286,2021
18.56616,6.7970433,2021
18.907297,5.6571465,2021
11.542531,1.1361098,2021
6.2088785,-8.487519,2021
6.1574965,-8.434404,2021
6.1921687,-8.4084425,2021
-2.9228187,3.5703423,2021
2.393411,-8.493959,2021
6.122919,-1.1348143,2021
-2.8612874,3.7434258,2021
12.492075,0.8876292,2021
12.599906,0.8517923,2021
4.8938165,-1.4034306,2021
11.436214,1.7381802,2021
12.115071,1.4048208,2021
-3.057826,3.4466655,2021
-2.581198,3.657698,2021
5.9733753,-1.198325,2021
6.026043,3.9825757,2021
-2.4472442,3.510912,2021
5.9711394,4.0179863,2021
12.693124,0.75183755,2021
6.39229,-0.8273638,2021
12.503947,1.0055103,2021
-3.0184453,3.6891582,2021
-3.052242,3.352986,2021
6.422716,2.1790273,2021
6.771438,-3.5895646,2021
-3.0054739,3.5467358,2021
-3.011836,3.5519562,2021
6.420503,7.5992517,2021
5.4067354,3.5215743,2021
6.3655343,7.5111523,2021
7.947982,3.1697724,2021
4.3391614,-0.24602659,2022
4.7416267,-1.1361005,2022
7.2046123,4.7686048,2022
4.3835993,-0.30277103,2022
-7.4229407,5.235429,2022
-4.024883,3.5483842,2022
4.3725996,-0.332075,2022
