UMAP1,UMAP2,Year
5.9671555,-1.4658171,2020
12.684891,0.491299,2020
12.672485,0.48771018,2020
6.413199,0.3811582,2020
10.700089,-1.3713155,2020
-2.3984482,5.2990584,2020
7.8024316,-4.7375145,2020
5.4118667,-1.7418765,2020
4.5730786,5.5907335,2020
-2.1909087,5.120953,2020
-2.304343,5.178919,2020
10.943838,-1.7274348,2020
5.2736573,-5.853253,2020
12.6481,-1.0541477,2020
4.493271,5.9381576,2020
5.298913,-5.937232,2020
6.397342,-1.325497,2020
-2.406585,5.350107,2020
2.8459814,2.3621984,2020
7.5602455,-0.45319444,2020
7.653583,-4.778316,2020
4.9392543,0.6800413,2020
13.455357,-0.42518887,2020
8.1956005,-4.2169533,2020
2.96578,2.2392704,2020
2.813497,2.3966384,2020
7.5405483,-0.6338258,2020
2.862156,2.4031434,2020
-1.7331522,6.001744,2020
7.512498,-5.1440806,2020
-1.439372,5.642353,2020
8.680818,-3.5348644,2020
11.140597,-4.9634013,2020
9.194541,-2.7897427,2020
7.467018,-4.59931,2020
-1.432341,4.966736,2020
8.668758,0.43250653,2020
6.3656473,-0.3424282,2020
-1.5508658,5.0989623,2020
-1.5061787,4.9365835,2020
12.565184,-0.88247067,2020
-1.4333127,6.145876,2020
11.117183,0.5465543,2020
6.0372896,1.3863229,2020
-2.2963734,6.6094475,2020
-2.485993,6.3429284,2020
-2.4052968,6.2408533,2020
-2.4323392,6.708469,2020
-1.2964967,6.2508497,2020
-1.3198276,5.929896,2020
4.649425,-6.15472,2020
5.8196387,0.567883,2020
-2.4294343,6.4446335,2020
4.75865,-6.115173,2020
-1.4667304,6.060084,2020
4.82505,-5.5650887,2020
7.4552636,-4.4041243,2020
7.65182,-5.130303,2020
10.9652815,-1.8155342,2020
12.705608,-1.0274109,2020
-1.2107501,6.237799,2020
16.17598,9.860612,2020
16.890291,6.9332137,2020
16.052593,9.569442,2020
15.827107,9.876552,2020
16.908175,5.704106,2020
15.95654,9.744188,2020
7.9963527,0.9998077,2020
16.004387,5.2602234,2020
5.048254,1.1186564,2020
11.667884,0.50814795,2020
8.771623,1.3912067,2020
16.86131,6.9497247,2020
11.889492,-0.7152138,2020
9.879066,1.2702645,2020
16.075266,9.867069,2020
5.18031,5.6143045,2020
10.861897,0.290142,2020
11.125981,-0.97080016,2020
16.17169,5.362725,2020
15.8882065,9.708984,2020
7.2769847,0.49409136,2020
15.798558,9.737929,2020
16.33173,9.720416,2020
-2.6891508,5.8495245,2020
11.619337,-5.293659,2020
11.393788,-5.482803,2020
6.001518,-0.30985942,2020
-2.0472221,5.546665,2020
12.77837,-0.8372909,2020
5.817005,-1.1539575,2020
-1.8905092,6.505522,2020
10.122259,-8.134826,2020
-2.1511548,5.916937,2020
-1.7038171,6.3989367,2020
10.662455,-1.6690375,2020
9.169949,-3.4874582,2020
5.790595,0.64441955,2020
11.741372,1.1074718,2020
-1.9984916,5.3935876,2020
4.9370136,-6.1874027,2020
-1.8455886,5.312999,2020
-1.7915304,6.5166864,2020
11.914599,-0.54445475,2020
10.325108,-4.929247,2020
-2.6720407,6.8265014,2020
-2.7892356,6.8207593,2020
10.107383,-8.323732,2020
12.344535,0.33750242,2020
11.608973,0.98350894,2020
5.939135,-6.449366,2020
7.4195976,-0.82964796,2020
5.163289,-5.983781,2020
